Competition Count,Name,WCA ID,Gender,Country ID,Continent ID,2x2 Single,3x3 Single,3x3 Average,3x3 World Rank,3x3 OH Single,3x3 OH Average
158,Max Park,2012PARK03,M,USA,North America,2.88,3.13,4.86,1,6.20,8.76
131,Tymon Kolasiński,2016KOLA02,M,Poland,Europe,0.60,3.85,4.86,5,8.91,11.80
144,Feliks Zemdegs,2009ZEMD01,M,Australia,Oceania,0.71,4.16,5.53,14,6.88,9.68
39,Leo Borromeo,2015BORR01,M,Philippines,Asia,1.14,4.31,5.24,19,8.07,11.01
43,Dylan Wang,2014WANG48,M,Canada,North America,1.53,5.31,8.59,189,10.88,16.95
57,Cameron Brown,2008BROW01,M,USA,North America,3.09,7.62,10.71,2991,23.50,27.62
3,Claire Kraft,2023KRAF01,F,USA,North America,6.74,21.27,24.93,84871,60.67,64.35
